t1 16838, t1 5758
t2 28895, t2 13393
t1 30908, t1 5960
t2 30169, t2 5462
t1 27323, t1 23929
t2 32149, t2 29305
t1 9149, t1 32724
t2 32584, t2 6224
t1 413, t1 26281
t2 12389, t2 11357
t1 4887, t1 17532
t2 1555, t2 12299
t1 9490, t1 26460
t2 24911, t2 14183
t1 22704, t1 17412
t2 20961, t2 20382
t1 3608, t1 5811
t2 7168, t2 20794
t1 12286, t1 13771
t2 27844, t2 6684
t1 11255, t1 29227
t2 26960, t2 27448
t1 9086, t1 8526
t2 1211, t2 26131
t1 8645, t1 11552
t2 18627, t2 26110
t1 25149, t1 17828
t2 32048, t2 12559
t1 29668, t1 4167
t2 23050, t2 15588
t1 17746, t1 28929
t2 12410, t2 791
t1 25985, t1 18737
t2 13952, t2 8576
t1 1375, t1 18485
t2 24922, t2 16941
t1 1557, t1 10700
t2 31408, t2 1826
t1 8213, t1 32301
t2 23680, t2 30161
t1 28390, t1 22500
t2 32716, t2 7768
t1 28079, t1 31599
t2 18949, t2 31357
t1 12421, t1 27804
t2 17717, t2 16490
t1 26228, t1 30112
t2 12016, t2 9512
t1 28751, t1 1015
t2 2553, t2 19164
t1 6200, t1 30464
t2 7859, t2 22212
t1 13806, t1 15444
t2 5710, t2 27377
t1 19417, t1 21994
t2 7341, t2 32706
t1 26839, t1 9707
t2 13593, t2 22820
t1 23236, t1 7254
t2 11688, t2 5003
t1 32203, t1 8788
t2 23915, t2 1199
t1 13424, t1 24408
t2 6490, t2 27655
t1 21593, t1 13310
t2 3072, t2 12038
t1 5087, t1 1697
t2 23526, t2 7448
t1 17497, t1 15802
t2 19649, t2 30555
t1 25891, t1 1020
t2 18267, t2 14366
t1 23408, t1 12848
t2 29762, t2 22042
t1 23252, t1 31440
t2 21810, t2 32626
t1 19088, t1 13158
t2 2370, t2 2156
t1 13213, t1 22434
t2 10193, t2 2541
t1 887, t1 8766
t2 24112, t2 27574
t1 12206, t1 22418
t2 15373, t2 22113
t1 1582, t1 7670
t2 23202, t2 18714
t1 13897, t1 32731
t2 19105, t2 20253
t1 24201, t1 29608
t2 29918, t2 4338
t1 11064, t1 1366
t2 22970, t2 15723
t1 20907, t1 32202
t2 23379, t2 1626
t1 29779, t1 9206
t2 32365, t2 11539
t1 15233, t1 29614
t2 19999, t2 23205
t1 12028, t1 26186
t2 20029, t2 16343
t1 7237, t1 10497
t2 10377, t2 14564
t1 5540, t1 23808
t2 152, t2 28918
t1 22011, t1 15693
t2 6790, t2 16740
t1 5446, t1 18015
t2 16473, t2 18604
t1 6645, t1 15225
t2 4662, t2 29999
t1 4842, t1 9674
t2 11590, t2 32687
t1 1616, t1 10566
t2 21862, t2 4489
t1 24865, t1 19266
t2 3473, t2 4785
t1 29558, t1 1746
t2 19213, t2 23410
t1 25997, t1 19171
t2 12120, t2 17891
t1 29084, t1 15895
t2 29905, t2 23336
t1 28248, t1 25699
t2 31271, t2 6254
t1 30276, t1 619
t2 6274, t2 1956
t1 14266, t1 23192
t2 12403, t2 10234
t1 14779, t1 8191
t2 6556, t2 25114
t1 8566, t1 15090
t2 24863, t2 1065
t1 17561, t1 15202
t2 712, t2 380
t1 5211, t1 5371
t2 2297, t2 29210
t1 11590, t1 253
t2 16217, t2 3574
t1 6085, t1 8667
t2 25660, t2 8169
t1 1393, t1 17558
t2 1232, t2 11377
t1 5916, t1 23512
t2 28685, t2 18476
t1 30617, t1 4304
t2 27738, t2 23058
t1 22353, t1 1488
t2 7168, t2 17781
t1 5255, t1 9896
t2 15439, t2 14266
t1 7270, t1 8896
t2 11154, t2 5589
t1 20688, t1 27895
t2 25012, t2 17798
t1 32485, t1 23871
t2 18351, t2 20053
t1 12885, t1 20469
t2 6584, t2 3662
t1 29030, t1 24321
t2 16428, t2 32381
t1 11716, t1 4274
t2 19256, t2 17192
t1 30220, t1 6230
t2 32075, t2 975
t1 13335, t1 1180
t2 4157, t2 18148
t1 1031, t1 30635
t2 8508, t2 19786
t1 28690, t1 17662
t2 28539, t2 10640
t1 7441, t1 4358
t2 22937, t2 3818
t1 13255, t1 20093
t2 17873, t2 5107
t1 4850, t1 13708
t2 24807, t2 25893
t1 5652, t1 4252
t2 24526, t2 8980
t1 31998, t1 31484
t2 12313, t2 26733
t1 16417, t1 27959
t2 17192, t2 13234
t1 23956, t1 13107
t2 24591, t2 12467
t1 27364, t1 10250
t2 10309, t2 7627
t1 30623, t1 21416
t2 15121, t2 18656
t1 3231, t1 17961
t2 9140, t2 24600
t1 21527, t1 19695
t2 32343, t2 4700
t1 13919, t1 23942
t2 32691, t2 15245
t1 30591, t1 21049
t2 19330, t2 6281
t1 8573, t1 21617
t2 17833, t2 16092
t1 18279, t1 4304
t2 18978, t2 21574
t1 27935, t1 4369
t2 30635, t2 16881
t1 8169, t1 22430
t2 31024, t2 24431
t1 2998, t1 6382
t2 31225, t2 20853
t1 6446, t1 11941
t2 12436, t2 6233
t1 24703, t1 8297
t2 11392, t2 2637
t1 31976, t1 24197
t2 21150, t2 13657
t1 3332, t1 2624
t2 13400, t2 25882
t1 27607, t1 26619
t2 11662, t2 18492
t1 28314, t1 22285
t2 30021, t2 29113
t1 13126, t1 27487
t2 3342, t2 12750
t1 19426, t1 1222
t2 15160, t2 706
t1 21133, t1 36
t2 31669, t2 1366
t1 12875, t1 24125
t2 5069, t2 18699
t1 12431, t1 31833
t2 13444, t2 23574
t1 908, t1 15007
t2 22476, t2 24356
t1 316, t1 11308
t2 17515, t2 6350
t1 13101, t1 11510
t2 25770, t2 17626
t1 23310, t1 31076
t2 23491, t2 6967
t1 13309, t1 9129
t2 1544, t2 19127
t1 31886, t1 740
t2 20435, t2 25482
t1 5531, t1 30713
t2 3889, t2 28030
t1 16846, t1 9261
t2 19533, t2 9720
t1 20975, t1 28035
t2 9374, t2 8625
t1 18926, t1 27866
t2 13520, t2 20018
t1 19120, t1 8643
t2 13683, t2 3853
t1 19610, t1 2084
t2 13926, t2 29409
t1 30430, t1 27534
t2 9474, t2 15371
t1 8072, t1 5213
t2 2310, t2 14636
t1 16455, t1 10901
t2 9285, t2 10591
t1 27644, t1 27255
t2 24849, t2 10295
t1 4356, t1 1766
t2 15206, t2 23931
t1 5190, t1 21885
t2 4310, t2 27809
t1 4347, t1 8301
t2 824, t2 24587
t1 18752, t1 14871
t2 23056, t2 3075
t1 4957, t1 11885
t2 3773, t2 9592
t1 20435, t1 11785
t2 28517, t2 2166
t1 13351, t1 3850
t2 1185, t2 27239
t1 30321, t1 32690
t2 9703, t2 29707
t1 9635, t1 18112
t2 26811, t2 32569
t1 15002, t1 11662
t2 22165, t2 29779
t1 11750, t1 28651
t2 5521, t2 906
t1 7770, t1 19894
t2 28633, t2 13783
t1 21586, t1 6719
t2 26066, t2 4532
t1 11719, t1 25949
t2 14089, t2 20382
t1 16148, t1 6735
t2 3548, t2 23116
t1 13445, t1 12371
t2 14824, t2 5804
t1 16549, t1 18696
t2 9526, t2 12194
t1 9028, t1 22660
t2 28708, t2 24960
t1 5450, t1 13109
t2 24597, t2 323
t1 9535, t1 7544
t2 3288, t2 15251
t1 20630, t1 14587
t2 30937, t2 18297
t1 26044, t1 27603
t2 10, t2 2270
t1 31461, t1 7516
t2 18831, t2 24263
t1 1425, t1 25812
t2 10284, t2 6482
t1 24288, t1 1463
t2 5487, t2 21360
t1 16539, t1 21976
t2 13213, t2 11360
t1 1790, t1 26948
t2 605, t2 7407
t1 17223, t1 8150
t2 12838, t2 25713
t1 27391, t1 28826
t2 17002, t2 18813
t1 12299, t1 3810
t2 22143, t2 10860
t1 19825, t1 17706
t2 27986, t2 6544
t1 21739, t1 8621
t2 26570, t2 309
t1 18734, t1 20675
t2 2557, t2 2905
t1 4343, t1 16641
t2 25365, t2 18730
t1 3802, t1 27919
t2 18433, t2 22084
t1 27082, t1 26439
t2 19675, t2 29607
t1 21095, t1 787
t2 26908, t2 22138
t1 20747, t1 14339
t2 12930, t2 9857
t1 26771, t1 6833
t2 23228, t2 26720
t1 6637, t1 1877
t2 23515, t2 20365
t1 5222, t1 23079
t2 32633, t2 13334
t1 7857, t1 20856
t2 11431, t2 10264
t1 1206, t1 30095
t2 10392, t2 26875
t1 5664, t1 8772
t2 13838, t2 10350
t1 421, t1 3678
t2 16264, t2 26918
t1 6420, t1 27822
t2 30760, t2 27478
t1 18976, t1 744
t2 8038, t2 25837
t1 22510, t1 21060
t2 21367, t2 402
t1 8544, t1 11736
t2 7803, t2 26208
t1 31, t1 23220
t2 10857, t2 13665
t1 3179, t1 5563
t2 18363, t2 19660
t1 20898, t1 6980
t2 13017, t2 15870
t1 16273, t1 3188
t2 17478, t2 14394
t1 25726, t1 20057
t2 30604, t2 25377
t1 15345, t1 16071
t2 29928, t2 25840
t1 7750, t1 23283
t2 2486, t2 4219
t1 7412, t1 13265
t2 15259, t2 30445
t1 22427, t1 19501
t2 25204, t2 22845
t1 5583, t1 15499
t2 29953, t2 13679
t1 12711, t1 14528
t2 29777, t2 27535
t1 7940, t1 21325
t2 8685, t2 13934
t1 7073, t1 6782
t2 27844, t2 29723
t1 21471, t1 27463
t2 16602, t2 31264
t1 2126, t1 5593
t2 9647, t2 29058
t1 32763, t1 12295
t2 22384, t2 30326
t1 21372, t1 12636
t2 18144, t2 30691
t1 23740, t1 13560
t2 11268, t2 4764
t1 22407, t1 32047
t2 6033, t2 25690
t1 32468, t1 5344
t2 12054, t2 4730
t1 13014, t1 10901
t2 32745, t2 124
t1 29633, t1 351
t2 5331, t2 29239
t1 15708, t1 4975
t2 14971, t2 5597
t1 3915, t1 17012
t2 7827, t2 12723
t1 11802, t1 12728
t2 13764, t2 29069
