Student Name: William Collins
line 1: op1 = -489.11, op2 = 432.89, op = '+', result = -56.219
line 8: op1 = -523.00, op2 = -532.69, op = '*', result = 278596.232
line 16: op1 = -371.20, op2 = 452.69, op = '+', result = 81.484
line 11: op1 = -0.32, op2 = 2.81, op = '/', result = -0.115
line 14: op1 = 3112.35, op2 = -435.36, op = '-', result = 3547.717
line 9: op1 = 150.58, op2 = -277.38, op = '*', result = -41767.340
line 15: op1 = 425.60, op2 = 256.71, op = '-', result = 168.888
line 17: op1 = 207.22, op2 = 591.20, op = '+', result = 798.426
line 12: op1 = 176.01, op2 = -109.41, op = '/', result = -1.609
line 10: op1 = -58.99, op2 = 170.64, op = '*', result = -10065.372
line 16: op1 = -371.20, op2 = 452.69, op = '-', result = -823.889
line 18: op1 = -141.06, op2 = -441.38, op = '+', result = -582.444
line 13: op1 = 373.91, op2 = -625.45, op = '/', result = -0.598
line 11: op1 = -0.32, op2 = 2.81, op = '*', result = -0.907
line 17: op1 = 207.22, op2 = 591.20, op = '-', result = -383.976
line 19: op1 = -598.14, op2 = 190.32, op = '+', result = -407.819
line 14: op1 = 3112.35, op2 = -435.36, op = '/', result = -7.149
line 12: op1 = 176.01, op2 = -109.41, op = '*', result = -19258.075
line 18: op1 = -141.06, op2 = -441.38, op = '-', result = 300.323
line 20: op1 = -176.74, op2 = 219.29, op = '+', result = 42.548
line 15: op1 = 425.60, op2 = 256.71, op = '/', result = 1.658
line 13: op1 = 373.91, op2 = -625.45, op = '*', result = -233859.110
line 16: op1 = -371.20, op2 = 452.69, op = '/', result = -0.820
line 19: op1 = -598.14, op2 = 190.32, op = '-', result = -788.451
line 21: op1 = -245.86, op2 = -269.56, op = '+', result = -515.416
line 14: op1 = 3112.35, op2 = -435.36, op = '*', result = -1355008.570
line 17: op1 = 207.22, op2 = 591.20, op = '/', result = 0.351
line 20: op1 = -176.74, op2 = 219.29, op = '-', result = -396.024
line 22: op1 = -524.66, op2 = 300.65, op = '+', result = -224.010
line 15: op1 = 425.60, op2 = 256.71, op = '*', result = 109255.726
line 18: op1 = -141.06, op2 = -441.38, op = '/', result = 0.320
line 21: op1 = -245.86, op2 = -269.56, op = '-', result = 23.697
line 23: op1 = 429.50, op2 = 406.15, op = '+', result = 835.651
line 16: op1 = -371.20, op2 = 452.69, op = '*', result = -168038.497
line 19: op1 = -598.14, op2 = 190.32, op = '/', result = -3.143
line 22: op1 = -524.66, op2 = 300.65, op = '-', result = -825.301
line 24: op1 = -253.22, op2 = 220.55, op = '+', result = -32.674
line 23: op1 = 429.50, op2 = 406.15, op = '-', result = 23.342
line 17: op1 = 207.22, op2 = 591.20, op = '*', result = 122511.539
line 20: op1 = -176.74, op2 = 219.29, op = '/', result = -0.806
line 25: op1 = -29.42, op2 = -138.71, op = '+', result = -168.132
line 24: op1 = -253.22, op2 = 220.55, op = '-', result = -473.774
line 18: op1 = -141.06, op2 = -441.38, op = '*', result = 62261.882
line 21: op1 = -245.86, op2 = -269.56, op = '/', result = 0.912
line 26: op1 = -704.88, op2 = -803.23, op = '+', result = -1508.107
line 25: op1 = -29.42, op2 = -138.71, op = '-', result = 109.286
line 19: op1 = -598.14, op2 = 190.32, op = '*', result = -113834.565
line 22: op1 = -524.66, op2 = 300.65, op = '/', result = -1.745
line 27: op1 = -525.12, op2 = 572.32, op = '+', result = 47.202
line 26: op1 = -704.88, op2 = -803.23, op = '-', result = 98.355
line 20: op1 = -176.74, op2 = 219.29, op = '*', result = -38756.194
line 23: op1 = 429.50, op2 = 406.15, op = '/', result = 1.057
line 28: op1 = 3.03, op2 = -11.89, op = '+', result = -8.852
line 24: op1 = -253.22, op2 = 220.55, op = '/', result = -1.148
line 27: op1 = -525.12, op2 = 572.32, op = '-', result = -1097.447
line 21: op1 = -245.86, op2 = -269.56, op = '*', result = 66273.058
line 29: op1 = 136.73, op2 = 164.58, op = '+', result = 301.312
line 25: op1 = -29.42, op2 = -138.71, op = '/', result = 0.212
line 28: op1 = 3.03, op2 = -11.89, op = '-', result = 14.921
line 22: op1 = -524.66, op2 = 300.65, op = '*', result = -157735.161
line 30: op1 = -826.99, op2 = -318.84, op = '+', result = -1145.831
line 26: op1 = -704.88, op2 = -803.23, op = '/', result = 0.878
line 29: op1 = 136.73, op2 = 164.58, op = '-', result = -27.852
line 23: op1 = 429.50, op2 = 406.15, op = '*', result = 174442.090
line 31: op1 = 158.58, op2 = 139.44, op = '+', result = 298.029
line 27: op1 = -525.12, op2 = 572.32, op = '/', result = -0.918
line 30: op1 = -826.99, op2 = -318.84, op = '-', result = -508.151
line 24: op1 = -253.22, op2 = 220.55, op = '*', result = -55848.545
line 32: op1 = 564.06, op2 = 44.12, op = '+', result = 608.185
line 25: op1 = -29.42, op2 = -138.71, op = '*', result = 4081.266
line 28: op1 = 3.03, op2 = -11.89, op = '/', result = -0.255
line 31: op1 = 158.58, op2 = 139.44, op = '-', result = 19.139
line 33: op1 = 40.05, op2 = 52.61, op = '+', result = 92.653
line 26: op1 = -704.88, op2 = -803.23, op = '*', result = 566178.333
line 29: op1 = 136.73, op2 = 164.58, op = '/', result = 0.831
line 32: op1 = 564.06, op2 = 44.12, op = '-', result = 519.942
line 34: op1 = 642.00, op2 = 123.76, op = '+', result = 765.761
line 27: op1 = -525.12, op2 = 572.32, op = '*', result = -300540.587
line 30: op1 = -826.99, op2 = -318.84, op = '/', result = 2.594
line 33: op1 = 40.05, op2 = 52.61, op = '-', result = -12.563
line 35: op1 = -14.22, op2 = 27.03, op = '+', result = 12.802
line 28: op1 = 3.03, op2 = -11.89, op = '*', result = -36.074
line 31: op1 = 158.58, op2 = 139.44, op = '/', result = 1.137
line 34: op1 = 642.00, op2 = 123.76, op = '-', result = 518.242
line 36: op1 = 622.27, op2 = -513.37, op = '+', result = 108.897
line 35: op1 = -14.22, op2 = 27.03, op = '-', result = -41.251
line 29: op1 = 136.73, op2 = 164.58, op = '*', result = 22503.297
line 32: op1 = 564.06, op2 = 44.12, op = '/', result = 12.784
line 37: op1 = -12.01, op2 = 3.00, op = '+', result = -9.005
line 36: op1 = 622.27, op2 = -513.37, op = '-', result = 1135.636
line 30: op1 = -826.99, op2 = -318.84, op = '*', result = 263677.591
line 33: op1 = 40.05, op2 = 52.61, op = '/', result = 0.761
line 38: op1 = 228.46, op2 = -325.11, op = '+', result = -96.655
line 37: op1 = -12.01, op2 = 3.00, op = '-', result = -15.008
line 31: op1 = 158.58, op2 = 139.44, op = '*', result = 22113.792
line 34: op1 = 642.00, op2 = 123.76, op = '/', result = 5.187
line 39: op1 = 5.81, op2 = 71.17, op = '+', result = 76.977
line 38: op1 = 228.46, op2 = -325.11, op = '-', result = 553.571
line 32: op1 = 564.06, op2 = 44.12, op = '*', result = 24887.341
line 35: op1 = -14.22, op2 = 27.03, op = '/', result = -0.526
line 40: op1 = 275.65, op2 = -10.88, op = '+', result = 264.770
line 36: op1 = 622.27, op2 = -513.37, op = '/', result = -1.212
line 39: op1 = 5.81, op2 = 71.17, op = '-', result = -65.358
line 33: op1 = 40.05, op2 = 52.61, op = '*', result = 2106.694
line 41: op1 = 239.08, op2 = 291.57, op = '+', result = 530.649
line 37: op1 = -12.01, op2 = 3.00, op = '/', result = -4.000
line 40: op1 = 275.65, op2 = -10.88, op = '-', result = 286.532
line 34: op1 = 642.00, op2 = 123.76, op = '*', result = 79453.642
line 42: op1 = -50.62, op2 = 4.13, op = '+', result = -46.486
line 38: op1 = 228.46, op2 = -325.11, op = '/', result = -0.703
line 41: op1 = 239.08, op2 = 291.57, op = '-', result = -52.482
line 35: op1 = -14.22, op2 = 27.03, op = '*', result = -384.446
line 43: op1 = -76.08, op2 = -112.39, op = '+', result = -188.478
line 39: op1 = 5.81, op2 = 71.17, op = '/', result = 0.082
line 42: op1 = -50.62, op2 = 4.13, op = '-', result = -54.750
line 36: op1 = 622.27, op2 = -513.37, op = '*', result = -319452.680
line 44: op1 = 444.12, op2 = 205.97, op = '+', result = 650.082
line 37: op1 = -12.01, op2 = 3.00, op = '*', result = -36.037
line 40: op1 = 275.65, op2 = -10.88, op = '/', result = -25.333
line 43: op1 = -76.08, op2 = -112.39, op = '-', result = 36.312
line 38: op1 = 228.46, op2 = -325.11, op = '*', result = -74274.781
line 41: op1 = 239.08, op2 = 291.57, op = '/', result = 0.820
line 44: op1 = 444.12, op2 = 205.97, op = '-', result = 238.149
line 45: op1 = 703.19, op2 = 325.13, op = '+', result = 1028.323
line 39: op1 = 5.81, op2 = 71.17, op = '*', result = 413.457
line 42: op1 = -50.62, op2 = 4.13, op = '/', result = -12.250
line 46: op1 = 71.14, op2 = -85.63, op = '+', result = -14.492
line 40: op1 = 275.65, op2 = -10.88, op = '*', result = -2999.349
line 43: op1 = -76.08, op2 = -112.39, op = '/', result = 0.677
line 45: op1 = 703.19, op2 = 325.13, op = '-', result = 378.060
line 47: op1 = 411.10, op2 = -305.31, op = '+', result = 105.790
line 41: op1 = 239.08, op2 = 291.57, op = '*', result = 69708.392
line 44: op1 = 444.12, op2 = 205.97, op = '/', result = 2.156
line 42: op1 = -50.62, op2 = 4.13, op = '*', result = -209.156
line 46: op1 = 71.14, op2 = -85.63, op = '-', result = 156.773
line 48: op1 = -15.52, op2 = -20.70, op = '+', result = -36.224
line 43: op1 = -76.08, op2 = -112.39, op = '*', result = 8551.303
line 47: op1 = 411.10, op2 = -305.31, op = '-', result = 716.414
line 49: op1 = 47.47, op2 = -516.28, op = '+', result = -468.809
line 45: op1 = 703.19, op2 = 325.13, op = '/', result = 2.163
line 44: op1 = 444.12, op2 = 205.97, op = '*', result = 91472.968
line 48: op1 = -15.52, op2 = -20.70, op = '-', result = 5.175
line 50: op1 = -200.35, op2 = 126.54, op = '+', result = -73.814
line 46: op1 = 71.14, op2 = -85.63, op = '/', result = -0.831
line 49: op1 = 47.47, op2 = -516.28, op = '-', result = 563.757
line 51: op1 = -341.57, op2 = -447.83, op = '+', result = -789.403
line 47: op1 = 411.10, op2 = -305.31, op = '/', result = -1.346
line 45: op1 = 703.19, op2 = 325.13, op = '*', result = 228629.930
line 50: op1 = -200.35, op2 = 126.54, op = '-', result = -326.889
line 46: op1 = 71.14, op2 = -85.63, op = '*', result = -6091.939
line 52: op1 = -655.39, op2 = 853.73, op = '+', result = 198.342
line 48: op1 = -15.52, op2 = -20.70, op = '/', result = 0.750
line 51: op1 = -341.57, op2 = -447.83, op = '-', result = 106.266
line 47: op1 = 411.10, op2 = -305.31, op = '*', result = -125514.367
line 53: op1 = 165.17, op2 = 186.29, op = '+', result = 351.457
line 49: op1 = 47.47, op2 = -516.28, op = '/', result = -0.092
line 52: op1 = -655.39, op2 = 853.73, op = '-', result = -1509.126
line 48: op1 = -15.52, op2 = -20.70, op = '*', result = 321.347
line 54: op1 = 147.98, op2 = 400.98, op = '+', result = 548.964
line 50: op1 = -200.35, op2 = 126.54, op = '/', result = -1.583
line 53: op1 = 165.17, op2 = 186.29, op = '-', result = -21.126
line 49: op1 = 47.47, op2 = -516.28, op = '*', result = -24510.190
line 55: op1 = 248.00, op2 = 275.87, op = '+', result = 523.873
line 51: op1 = -341.57, op2 = -447.83, op = '/', result = 0.763
line 54: op1 = 147.98, op2 = 400.98, op = '-', result = -253.001
line 52: op1 = -655.39, op2 = 853.73, op = '/', result = -0.768
line 50: op1 = -200.35, op2 = 126.54, op = '*', result = -25352.006
line 56: op1 = -3.36, op2 = -14.21, op = '+', result = -17.567
line 55: op1 = 248.00, op2 = 275.87, op = '-', result = -27.866
line 53: op1 = 165.17, op2 = 186.29, op = '/', result = 0.887
line 51: op1 = -341.57, op2 = -447.83, op = '*', result = 152966.058
line 57: op1 = 88.54, op2 = -177.08, op = '+', result = -88.542
line 56: op1 = -3.36, op2 = -14.21, op = '-', result = 10.856
line 54: op1 = 147.98, op2 = 400.98, op = '/', result = 0.369
line 52: op1 = -655.39, op2 = 853.73, op = '*', result = -559530.046
line 58: op1 = 442.30, op2 = 78.63, op = '+', result = 520.929
line 57: op1 = 88.54, op2 = -177.08, op = '-', result = 265.625
line 55: op1 = 248.00, op2 = 275.87, op = '/', result = 0.899
line 53: op1 = 165.17, op2 = 186.29, op = '*', result = 30768.916
line 59: op1 = -559.92, op2 = -496.71, op = '+', result = -1056.632
line 58: op1 = 442.30, op2 = 78.63, op = '-', result = 363.668
line 60: op1 = -42.97, op2 = 219.64, op = '+', result = 176.669
line 56: op1 = -3.36, op2 = -14.21, op = '/', result = 0.236
line 54: op1 = 147.98, op2 = 400.98, op = '*', result = 59337.923
line 59: op1 = -559.92, op2 = -496.71, op = '-', result = -63.217
line 61: op1 = 179.89, op2 = -255.77, op = '+', result = -75.889
line 57: op1 = 88.54, op2 = -177.08, op = '/', result = -0.500
line 55: op1 = 248.00, op2 = 275.87, op = '*', result = 68416.582
line 60: op1 = -42.97, op2 = 219.64, op = '-', result = -262.615
line 62: op1 = 22.40, op2 = 242.71, op = '+', result = 265.118
line 58: op1 = 442.30, op2 = 78.63, op = '/', result = 5.625
line 56: op1 = -3.36, op2 = -14.21, op = '*', result = 47.687
line 61: op1 = 179.89, op2 = -255.77, op = '-', result = 435.659
line 63: op1 = -309.05, op2 = 64.07, op = '+', result = -244.975
line 59: op1 = -559.92, op2 = -496.71, op = '/', result = 1.127
line 57: op1 = 88.54, op2 = -177.08, op = '*', result = -15679.261
line 62: op1 = 22.40, op2 = 242.71, op = '-', result = -220.309
line 58: op1 = 442.30, op2 = 78.63, op = '*', result = 34778.290
line 64: op1 = -43.70, op2 = -33.72, op = '+', result = -77.423
line 60: op1 = -42.97, op2 = 219.64, op = '/', result = -0.196
line 63: op1 = -309.05, op2 = 64.07, op = '-', result = -373.116
line 59: op1 = -559.92, op2 = -496.71, op = '*', result = 278118.868
line 65: op1 = 57.85, op2 = -37.61, op = '+', result = 20.249
line 61: op1 = 179.89, op2 = -255.77, op = '/', result = -0.703
line 64: op1 = -43.70, op2 = -33.72, op = '-', result = -9.975
line 60: op1 = -42.97, op2 = 219.64, op = '*', result = -9438.774
line 66: op1 = -944.99, op2 = 255.93, op = '+', result = -689.053
line 62: op1 = 22.40, op2 = 242.71, op = '/', result = 0.092
line 65: op1 = 57.85, op2 = -37.61, op = '-', result = 95.459
line 61: op1 = 179.89, op2 = -255.77, op = '*', result = -46009.964
line 67: op1 = -205.29, op2 = -870.05, op = '+', result = -1075.346
line 63: op1 = -309.05, op2 = 64.07, op = '/', result = -4.824
line 68: op1 = -293.19, op2 = -323.74, op = '+', result = -616.931
line 66: op1 = -944.99, op2 = 255.93, op = '-', result = -1200.921
line 62: op1 = 22.40, op2 = 242.71, op = '*', result = 5437.827
line 64: op1 = -43.70, op2 = -33.72, op = '/', result = 1.296
line 69: op1 = -48.44, op2 = -28.55, op = '+', result = -76.991
line 67: op1 = -205.29, op2 = -870.05, op = '-', result = 664.760
line 63: op1 = -309.05, op2 = 64.07, op = '*', result = -19800.690
line 65: op1 = 57.85, op2 = -37.61, op = '/', result = -1.538
line 70: op1 = -59.69, op2 = -91.52, op = '+', result = -151.209
line 68: op1 = -293.19, op2 = -323.74, op = '-', result = 30.541
line 64: op1 = -43.70, op2 = -33.72, op = '*', result = 1473.700
line 66: op1 = -944.99, op2 = 255.93, op = '/', result = -3.692
line 71: op1 = 619.97, op2 = -236.48, op = '+', result = 383.486
line 69: op1 = -48.44, op2 = -28.55, op = '-', result = -19.897
line 65: op1 = 57.85, op2 = -37.61, op = '*', result = -2175.616
line 67: op1 = -205.29, op2 = -870.05, op = '/', result = 0.236
line 66: op1 = -944.99, op2 = 255.93, op = '*', result = -241854.474
line 72: op1 = -612.36, op2 = -257.04, op = '+', result = -869.402
line 70: op1 = -59.69, op2 = -91.52, op = '-', result = 31.833
line 68: op1 = -293.19, op2 = -323.74, op = '/', result = 0.906
line 67: op1 = -205.29, op2 = -870.05, op = '*', result = 178616.130
line 73: op1 = -445.08, op2 = 59.65, op = '+', result = -385.432
line 71: op1 = 619.97, op2 = -236.48, op = '-', result = 856.451
line 69: op1 = -48.44, op2 = -28.55, op = '/', result = 1.697
line 68: op1 = -293.19, op2 = -323.74, op = '*', result = 94917.799
line 74: op1 = -555.11, op2 = -5.72, op = '+', result = -560.833
line 72: op1 = -612.36, op2 = -257.04, op = '-', result = -355.321
line 70: op1 = -59.69, op2 = -91.52, op = '/', result = 0.652
line 69: op1 = -48.44, op2 = -28.55, op = '*', result = 1382.939
line 75: op1 = -363.59, op2 = 166.95, op = '+', result = -196.636
line 73: op1 = -445.08, op2 = 59.65, op = '-', result = -504.732
line 71: op1 = 619.97, op2 = -236.48, op = '/', result = -2.622
line 74: op1 = -555.11, op2 = -5.72, op = '-', result = -549.388
line 70: op1 = -59.69, op2 = -91.52, op = '*', result = 5462.699
line 76: op1 = 3.43, op2 = -1.66, op = '+', result = 1.773
line 72: op1 = -612.36, op2 = -257.04, op = '/', result = 2.382
line 75: op1 = -363.59, op2 = 166.95, op = '-', result = -530.545
line 71: op1 = 619.97, op2 = -236.48, op = '*', result = -146611.829
line 77: op1 = -63.73, op2 = 47.31, op = '+', result = -16.415
line 73: op1 = -445.08, op2 = 59.65, op = '/', result = -7.462
line 76: op1 = 3.43, op2 = -1.66, op = '-', result = 5.097
line 72: op1 = -612.36, op2 = -257.04, op = '*', result = 157401.583
line 78: op1 = 622.58, op2 = 455.32, op = '+', result = 1077.895
line 74: op1 = -555.11, op2 = -5.72, op = '/', result = 97.000
line 77: op1 = -63.73, op2 = 47.31, op = '-', result = -111.041
line 73: op1 = -445.08, op2 = 59.65, op = '*', result = -26549.239
line 79: op1 = -412.97, op2 = -164.30, op = '+', result = -577.267
line 75: op1 = -363.59, op2 = 166.95, op = '/', result = -2.178
line 80: op1 = 359.41, op2 = -302.24, op = '+', result = 57.180
line 78: op1 = 622.58, op2 = 455.32, op = '-', result = 167.260
line 74: op1 = -555.11, op2 = -5.72, op = '*', result = 3176.783
line 76: op1 = 3.43, op2 = -1.66, op = '/', result = -2.067
line 81: op1 = -170.40, op2 = 255.61, op = '+', result = 85.202
line 79: op1 = -412.97, op2 = -164.30, op = '-', result = -248.669
line 75: op1 = -363.59, op2 = 166.95, op = '*', result = -60703.160
line 77: op1 = -63.73, op2 = 47.31, op = '/', result = -1.347
line 82: op1 = -196.78, op2 = 233.39, op = '+', result = 36.610
line 80: op1 = 359.41, op2 = -302.24, op = '-', result = 661.650
line 76: op1 = 3.43, op2 = -1.66, op = '*', result = -5.708
line 78: op1 = 622.58, op2 = 455.32, op = '/', result = 1.367
line 83: op1 = -645.17, op2 = 345.09, op = '+', result = -300.078
line 81: op1 = -170.40, op2 = 255.61, op = '-', result = -426.011
line 77: op1 = -63.73, op2 = 47.31, op = '*', result = -3015.185
line 79: op1 = -412.97, op2 = -164.30, op = '/', result = 2.514
line 78: op1 = 622.58, op2 = 455.32, op = '*', result = 283470.438
line 84: op1 = 25.12, op2 = 12.42, op = '+', result = 37.542
line 82: op1 = -196.78, op2 = 233.39, op = '-', result = -430.173
line 80: op1 = 359.41, op2 = -302.24, op = '/', result = -1.189
line 79: op1 = -412.97, op2 = -164.30, op = '*', result = 67850.334
line 85: op1 = -662.80, op2 = -46.68, op = '+', result = -709.471
line 83: op1 = -645.17, op2 = 345.09, op = '-', result = -990.257
line 81: op1 = -170.40, op2 = 255.61, op = '/', result = -0.667
line 80: op1 = 359.41, op2 = -302.24, op = '*', result = -108627.789
line 86: op1 = -381.13, op2 = 450.42, op = '+', result = 69.295
line 84: op1 = 25.12, op2 = 12.42, op = '-', result = 12.694
line 82: op1 = -196.78, op2 = 233.39, op = '/', result = -0.843
line 81: op1 = -170.40, op2 = 255.61, op = '*', result = -43556.504
line 87: op1 = -402.87, op2 = -229.41, op = '+', result = -632.288
line 85: op1 = -662.80, op2 = -46.68, op = '-', result = -616.119
line 88: op1 = -132.12, op2 = -287.83, op = '+', result = -419.948
line 83: op1 = -645.17, op2 = 345.09, op = '/', result = -1.870
line 82: op1 = -196.78, op2 = 233.39, op = '*', result = -45927.017
line 86: op1 = -381.13, op2 = 450.42, op = '-', result = -831.546
line 84: op1 = 25.12, op2 = 12.42, op = '/', result = 2.022
line 83: op1 = -645.17, op2 = 345.09, op = '*', result = -222640.421
line 87: op1 = -402.87, op2 = -229.41, op = '-', result = -173.460
line 89: op1 = 163.95, op2 = -343.26, op = '+', result = -179.316
line 85: op1 = -662.80, op2 = -46.68, op = '/', result = 14.200
line 84: op1 = 25.12, op2 = 12.42, op = '*', result = 312.060
line 88: op1 = -132.12, op2 = -287.83, op = '-', result = 155.711
line 90: op1 = 31.96, op2 = -24.86, op = '+', result = 7.102
line 86: op1 = -381.13, op2 = 450.42, op = '/', result = -0.846
line 85: op1 = -662.80, op2 = -46.68, op = '*', result = 30936.438
line 91: op1 = 618.63, op2 = -440.94, op = '+', result = 177.690
line 86: op1 = -381.13, op2 = 450.42, op = '*', result = -171666.541
line 87: op1 = -402.87, op2 = -229.41, op = '/', result = 1.756
line 89: op1 = 163.95, op2 = -343.26, op = '-', result = 507.209
line 92: op1 = 70.20, op2 = -129.59, op = '+', result = -59.398
line 87: op1 = -402.87, op2 = -229.41, op = '*', result = 92425.061
line 88: op1 = -132.12, op2 = -287.83, op = '/', result = 0.459
line 90: op1 = 31.96, op2 = -24.86, op = '-', result = 56.816
line 93: op1 = -371.31, op2 = 361.54, op = '+', result = -9.771
line 88: op1 = -132.12, op2 = -287.83, op = '*', result = 38027.564
line 91: op1 = 618.63, op2 = -440.94, op = '-', result = 1059.561
line 94: op1 = 306.53, op2 = 240.17, op = '+', result = 546.704
line 89: op1 = 163.95, op2 = -343.26, op = '/', result = -0.478
line 92: op1 = 70.20, op2 = -129.59, op = '-', result = 199.792
line 95: op1 = 247.71, op2 = 247.71, op = '+', result = 495.414
line 89: op1 = 163.95, op2 = -343.26, op = '*', result = -56276.759
line 90: op1 = 31.96, op2 = -24.86, op = '/', result = -1.286
line 93: op1 = -371.31, op2 = 361.54, op = '-', result = -732.851
line 91: op1 = 618.63, op2 = -440.94, op = '/', result = -1.403
line 96: op1 = 506.51, op2 = 201.57, op = '+', result = 708.076
line 90: op1 = 31.96, op2 = -24.86, op = '*', result = -794.403
line 94: op1 = 306.53, op2 = 240.17, op = '-', result = 66.363
line 92: op1 = 70.20, op2 = -129.59, op = '/', result = -0.542
line 97: op1 = 123.55, op2 = 132.28, op = '+', result = 255.829
line 91: op1 = 618.63, op2 = -440.94, op = '*', result = -272773.668
line 95: op1 = 247.71, op2 = 247.71, op = '-', result = 0.000
line 93: op1 = -371.31, op2 = 361.54, op = '/', result = -1.027
line 98: op1 = 428.50, op2 = -211.14, op = '+', result = 217.353
line 92: op1 = 70.20, op2 = -129.59, op = '*', result = -9097.188
line 96: op1 = 506.51, op2 = 201.57, op = '-', result = 304.938
line 94: op1 = 306.53, op2 = 240.17, op = '/', result = 1.276
line 99: op1 = -96.45, op2 = 106.91, op = '+', result = 10.458
line 93: op1 = -371.31, op2 = 361.54, op = '*', result = -134243.757
line 97: op1 = 123.55, op2 = 132.28, op = '-', result = -8.721
line 94: op1 = 306.53, op2 = 240.17, op = '*', result = 73620.378
line 95: op1 = 247.71, op2 = 247.71, op = '/', result = 1.000
line 100: op1 = 7.51, op2 = -13.48, op = '+', result = -5.974
line 98: op1 = 428.50, op2 = -211.14, op = '-', result = 639.638
line 95: op1 = 247.71, op2 = 247.71, op = '*', result = 61358.843
line 96: op1 = 506.51, op2 = 201.57, op = '/', result = 2.513
line 101: op1 = 330.98, op2 = -583.16, op = '+', result = -252.177
line 99: op1 = -96.45, op2 = 106.91, op = '-', result = -203.355
line 96: op1 = 506.51, op2 = 201.57, op = '*', result = 102096.142
line 97: op1 = 123.55, op2 = 132.28, op = '/', result = 0.934
line 102: op1 = 216.09, op2 = 305.79, op = '+', result = 521.873
line 100: op1 = 7.51, op2 = -13.48, op = '-', result = 20.984
line 97: op1 = 123.55, op2 = 132.28, op = '*', result = 16343.074
line 98: op1 = 428.50, op2 = -211.14, op = '/', result = -2.029
line 103: op1 = -175.13, op2 = 541.82, op = '+', result = 366.684
line 101: op1 = 330.98, op2 = -583.16, op = '-', result = 914.141
line 104: op1 = -302.78, op2 = 302.78, op = '+', result = 0.000
line 98: op1 = 428.50, op2 = -211.14, op = '*', result = -90473.688
line 99: op1 = -96.45, op2 = 106.91, op = '/', result = -0.902
line 102: op1 = 216.09, op2 = 305.79, op = '-', result = -89.697
line 105: op1 = -479.69, op2 = -266.49, op = '+', result = -746.180
line 99: op1 = -96.45, op2 = 106.91, op = '*', result = -10310.966
line 100: op1 = 7.51, op2 = -13.48, op = '/', result = -0.557
line 103: op1 = -175.13, op2 = 541.82, op = '-', result = -716.949
